#{"t_start": 1628804864.770609, "env_id": "LunarLander-v2"}
r,l,t
-145.614423,148,288.190474
174.785659,614,291.845682
206.959474,475,294.620011
214.666771,427,296.636844
247.108465,344,298.658294
201.447741,461,301.126233
-137.322412,218,301.959297
224.766884,380,304.194106
208.392668,420,306.727832
236.34718,393,308.861207
234.443983,434,311.325267
220.621126,483,313.915919
-25.732878,270,315.334466
217.104133,403,317.343395
2.639636,196,318.091574
-24.468018,273,319.667184
-20.964552,160,320.609665
-29.962477,215,321.485594
213.732322,558,324.809139
44.458998,132,325.510853
224.811883,470,328.113877
242.037799,372,330.066657
226.405074,363,331.981282
-48.268663,151,332.737382
-32.504886,330,334.246048
210.784898,373,336.479668
206.51166,344,338.133856
-31.549051,218,339.174126
5.395938,264,340.426436
39.466475,180,341.453271
48.09559,209,342.540844
22.869123,238,343.68973
23.252412,241,344.658725
285.162289,787,349.212184
244.951465,347,351.012643
32.927689,229,352.25105
-2.43838,239,353.289106
27.163644,245,354.420169
20.838624,168,355.248531
23.823,231,356.547728
-58.586114,179,357.386353
6.123688,185,358.298507
-42.516068,169,359.087548
-5.049467,136,359.597675
19.101631,172,360.390901
-11.001367,133,361.0943
4.374591,152,361.922475
246.600219,278,363.285079
-61.858002,181,364.184334
22.79598,157,364.907964
-43.141863,210,366.051642
36.355353,197,366.986431
-3.346039,187,367.817676
-84.53648,201,368.863391
65.369466,214,369.752252
29.307598,270,371.291394
39.70125,258,372.537316
28.898647,248,373.770994
51.992648,275,375.138238
57.164929,162,376.005594
29.36154,383,378.003996
4.804379,113,378.526078
76.60088,169,379.278972
30.338912,300,381.047882
12.03479,239,382.356815
24.963169,243,383.635553
-21.746472,210,384.425524
41.037615,177,385.205855
-10.254556,214,386.27202
51.656164,141,386.791483
21.276712,197,387.80723
7.667739,203,388.958876
23.935563,180,389.775324
28.937036,165,390.590257
-27.091737,200,391.332523
-8.258453,180,392.091581
53.492568,251,393.357375
38.755447,174,394.028795
32.597275,336,395.844945
37.620926,234,397.056812
5.345798,223,398.078166
15.740818,212,398.895303
6.436659,200,399.893533
0.694928,231,400.878678
-62.673902,346,402.72988
-36.357394,287,404.216102
-12.519141,99,404.722492
-43.24833,249,405.839079
32.45354,171,406.547916
-55.499319,213,407.578886
-7.599477,164,408.176482
-81.97251,239,409.348654
-64.079137,196,410.350583
23.137423,114,410.930086
-58.540857,168,411.741353
-126.972993,201,412.682049
2.062439,134,413.156184
-43.362748,158,413.776737
-29.803593,148,414.47252
-23.082986,152,415.080779
33.0049,151,415.823477
-33.170702,145,416.603573
-9.687245,171,417.534389
-60.863946,167,418.358251
7.820752,243,419.48214
-103.6187,163,420.149436
-37.880601,245,421.416202
-172.753277,287,422.618925
-86.845129,306,424.396646
-87.97215,1000,430.474237
-145.476057,292,432.206446
-80.88276,202,433.181442
-147.934774,189,433.907548
-175.15945,218,435.025356
-142.233676,409,436.881131
-130.473565,195,437.736362
-108.399989,381,439.674171
-85.953535,186,440.648078
-136.468948,198,441.6502
-13.170421,310,443.041495
-118.129251,329,444.689889
-20.384729,410,446.890643
-18.071798,408,449.245603
108.962985,791,454.548233
-278.594731,436,456.845533
-86.400098,1000,463.165656
-114.733132,1000,470.119678
-110.756514,1000,477.568721
-112.894011,1000,484.108247
154.841909,723,488.898623
159.969063,932,494.811911
-11.936686,1000,502.503523
-171.775427,314,503.826261
-133.097943,1000,510.631026
-113.311749,1000,519.008729
-127.501547,1000,526.533461
-158.225406,1000,535.095627
-85.687907,1000,541.620208
-36.256506,1000,549.614486
-95.833759,1000,556.845547
204.58676,707,561.724716
-97.546613,205,562.579418
-91.446841,1000,569.183746
-64.822645,1000,576.473634
-131.649738,1000,583.396617
-233.861612,434,585.649798
-80.130406,1000,592.832365
-156.227723,174,593.547161
-113.373884,1000,601.03757
-18.675178,314,602.732264
-73.032246,1000,609.889591
114.591075,600,613.355466
-34.417205,242,614.382784
158.635357,610,617.885613
-16.031048,262,619.368654
164.934317,630,623.576844
-164.431571,223,624.744935
-1.116108,434,626.92098
173.396971,597,630.657499
208.091383,446,633.12952
7.295457,264,634.27197
-134.113882,149,634.982358
-22.481992,165,635.91892
26.509365,257,637.334352
225.677071,389,639.385999
214.20211,447,642.389972
29.757173,221,643.319385
15.275563,230,644.493533
62.595781,125,644.951239
-146.220357,149,645.557838
235.478809,314,647.374048
9.913394,229,648.516985
-27.397122,180,649.482912
27.470107,232,650.402854
5.89027,201,651.414752
20.842826,175,652.375679
206.858806,381,654.521727
-79.961531,410,656.566742
-17.140102,243,657.962276
0.09515,185,658.679018
184.88906,451,661.384724
187.468055,370,663.543829
16.04613,220,664.629674
-40.480212,269,665.766187
-174.44659,140,666.359601
51.627384,156,667.146344
53.826581,137,667.891139
238.148432,298,669.493137
40.725515,148,670.281284
-27.66359,235,671.51226
-28.90695,188,672.676205
40.938223,105,673.234932
21.550441,136,673.738961
-59.381065,180,674.481674
-44.93925,169,675.319313
-61.624098,160,675.953979
-15.936195,183,676.735455
-6.840154,142,677.469636
-85.125212,122,678.135844
-42.457005,157,678.889138
-82.618384,184,679.814862
-3.68729,144,680.453994
-17.694586,151,681.008497
0.251692,94,681.423876
33.68119,117,682.000902
11.610629,113,682.63663
-24.367423,145,683.408143
-51.128858,144,684.085301
1.267969,161,684.973384
44.557082,150,685.522703
15.209276,120,686.009176
-23.269925,104,686.550109
8.833668,172,687.493061
-51.615658,161,688.357802
-16.492502,145,689.046844
57.710281,123,689.729197
-2.410286,114,690.225108
-4.194699,165,690.86087
23.37542,140,691.54326
39.201556,138,692.288981
10.946695,137,693.061874
-23.244909,184,693.9327
-17.408273,172,694.823444
43.90481,177,695.476152
-62.66704,172,696.262171
44.613686,124,696.916207
57.785163,148,697.678447
5.455906,146,698.333828
25.900416,145,699.042259
-78.327343,169,699.77231
31.432402,140,700.403861
50.61986,148,701.229445
1.906615,111,701.876427
-28.994859,126,702.612961
-13.989469,126,703.092385
-5.560678,134,703.621663
-17.457965,151,704.329954
43.292687,143,705.009273
18.28859,136,705.58279
-15.662298,102,706.163407
-33.18807,149,707.033079
-7.863431,150,707.865889
-42.774437,100,708.362318
-45.731652,139,709.05055
-61.728303,105,709.433383
21.269511,143,709.968197
10.101203,142,710.624834
-36.033645,140,711.403474
-53.084231,135,712.137687
36.318071,134,712.765949
-17.856601,104,713.263866
26.68294,118,713.865222
52.379056,133,714.424314
35.209042,122,714.866361
-9.104177,170,715.586023
-16.015102,126,716.315956
-21.287719,129,717.101105
-19.353801,120,717.648861
4.884282,127,718.310312
-11.166169,129,718.887711
-3.399163,138,719.372635
26.505931,133,719.952188
21.94696,126,720.632923
-29.945784,120,721.283941
-15.597659,130,721.944647
4.617549,106,722.417108
-36.836453,151,723.132918
-32.141091,109,723.600842
-99.178263,101,723.959674
-16.402098,108,724.388955
-29.886128,127,724.979634
-4.193558,118,725.621218
24.766809,124,726.305707
5.182387,141,727.012844
30.767567,92,727.444525
-1.343471,108,728.013947
-51.193463,92,728.35323
-74.052734,100,728.714016
-2.555451,106,729.141347
-85.952059,100,729.605822
-32.281433,120,730.217666
-24.440766,118,730.800453
-31.165918,102,731.32128
-71.120496,95,731.81968
-72.650034,106,732.313252
6.577257,91,732.758678
-39.077932,100,733.158271
-19.739964,93,733.531166
-50.338332,118,734.065516
-72.792758,119,734.720354
-29.529459,96,735.230276
-2.029626,91,735.697176
-28.149734,80,736.089545
-66.000625,77,736.373343
-93.043033,91,736.734277
-95.930554,100,737.173787
-42.787605,73,737.493584
-56.862064,102,737.984415
-64.627648,109,738.376535
-13.478279,80,738.724801
-65.732372,86,739.142546
-93.384603,93,739.605927
-62.826717,74,740.005635
-62.215012,84,740.474033
-96.484587,86,740.899399
-134.075276,86,741.308028
-82.678316,109,741.837778
-95.297276,100,742.307687
-90.752828,84,742.628016
-30.943793,67,742.877738
-85.781116,94,743.23188
-35.624076,75,743.567476
-41.144895,76,743.92512
-50.106698,74,744.343371
-83.363255,109,744.929735
-86.266967,79,745.367555
-29.267952,80,745.778086
-38.24514,98,746.278183
-77.047125,89,746.724278
-15.234231,90,747.145945
-88.227224,94,747.494236
-82.982294,91,747.832791
-1.536498,85,748.162183
33.122621,91,748.595386
-55.33078,97,749.058712
-51.161518,82,749.478435
-73.608148,91,749.949041
-64.458384,85,750.363265
-38.959108,101,750.835089
-50.140538,89,751.258703
-97.579268,59,751.548035
-28.056515,96,752.014121
-76.87214,90,752.421215
-47.723112,93,752.884635
-99.258445,80,753.343789
-91.997305,82,753.814444
-74.873468,80,754.268333
-62.033765,89,754.599324
-50.867298,95,754.962708
-23.7039,73,755.228845
-67.798009,90,755.618796
-50.387891,110,756.121236
-34.931294,75,756.486712
-71.351984,84,756.880912
-7.990967,104,757.361498
-83.551428,78,757.712498
-50.901121,97,758.284338
-34.554826,77,758.753483
9.769172,104,759.348441
-63.844512,106,759.715516
-9.94777,97,760.08244
-29.532153,98,760.559281
-39.470137,80,760.923042
-42.496708,94,761.414229
-23.406222,89,761.83542
-38.018076,116,762.382942
-0.532272,105,762.975152
-34.965025,104,763.53114
-66.614237,110,764.068135
7.108856,105,764.447023
20.625782,84,764.752593
-21.444061,96,765.185515
29.955764,91,765.616748
-4.970019,109,766.145046
42.767331,117,766.699888
48.993155,137,767.358639
-36.885422,113,768.060753
-93.67525,124,768.69186
-38.125784,146,769.380325
-114.052422,149,770.151758
77.135923,148,770.939855
20.699958,134,771.416742
-9.418901,121,771.903235
-19.294227,111,772.458507
-62.098411,115,773.100658
-11.110484,85,773.592946
-85.211572,98,774.084243
-25.516023,115,774.559987
25.955535,115,775.120593
-16.906997,90,775.551554
-52.027329,103,775.973063
55.506358,123,776.429943
-80.111633,83,776.773434
-34.5452,101,777.250068
-77.22321,83,777.707418
-102.267445,85,778.173352
-65.27861,106,778.789269
-79.01555,105,779.255486
34.193468,123,779.909514
47.459678,121,780.544628
-26.054538,115,780.981599
-89.127434,101,781.365899
-6.315935,111,781.893955
-33.717074,120,782.555501
-67.445112,81,783.034289
-56.488454,78,783.462866
-72.940386,96,783.906477
30.417456,113,784.474344
-30.891169,122,785.03391
-55.518814,108,785.424855
39.319616,115,785.834499
-32.324223,115,786.367989
-21.954915,66,786.709381
-62.583381,90,787.186391
-68.723373,85,787.600388
-33.414373,114,788.221515
-93.475653,92,788.686203
-36.860225,82,788.985783
44.71299,122,789.5702
-78.265247,73,789.91832
-26.741502,71,790.278856
14.70218,121,790.765836
-22.853669,78,791.128425
-41.601824,108,791.706268
-99.915835,83,792.140533
-127.000702,93,792.499767
-113.226037,90,792.908061
-37.90069,97,793.433734
-71.984345,89,793.906588
-42.875967,62,794.192227
27.257029,106,794.733419
-43.691305,114,795.19541
-83.21132,67,795.465093
-75.556508,70,795.754262
-78.634183,84,796.188487
32.159391,130,796.876713
-78.166587,80,797.15587
5.566416,91,797.491636
-70.972277,92,797.829466
33.50401,132,798.457296
-20.025021,107,799.012123
22.078089,111,799.458761
-1.490574,110,799.961892
-83.658906,77,800.35385
-65.069179,63,800.702351
-70.241805,58,801.013221
-42.496949,68,801.376067
1.111538,81,801.80742
-28.093834,103,802.395311
-34.706551,63,802.696686
-55.213611,87,803.10187
-110.121282,89,803.562316
-76.982767,68,803.864186
-44.206334,95,804.210582
-15.904382,68,804.45828
-37.198058,86,804.791721
10.424704,97,805.249787
-19.873053,81,805.61519
-101.849331,74,805.98075
-109.865971,72,806.361296
-34.774315,90,806.847368
-29.75526,68,807.212366
-107.487456,67,807.56198
-130.618175,68,807.864459
-118.590011,69,808.198668
-18.538372,68,808.547364
1.481569,101,808.992269
-31.525989,79,809.330995
16.157241,82,809.682737
-71.837228,59,809.976537
37.672693,103,810.551471
-31.445957,74,810.932277
-74.449092,60,811.241196
-89.425516,76,811.662106
36.451612,152,812.266196
-37.383234,92,812.601234
-112.937165,86,812.928319
-34.080006,80,813.207145
-19.405572,72,813.461854
-17.19149,68,813.706934
-0.72408,106,814.182538
-117.098984,74,814.51604
-32.516293,79,814.918606
-13.611969,73,815.201749
-132.393773,59,815.407647
-73.283837,74,815.647974
7.725711,99,816.041469
0.53789,123,816.691123
-45.58051,79,817.157288
23.460553,119,817.729454
-110.080045,63,818.080337
